hello,:-)!,Time,Interval:,1480562138.13259,Running,Time:,0,,,,,,,,,,,,,,,,,,,,,,Average Interval,Std Dev,Variance,Max,Min
[(907,,38,,15,,21,,4.7259049416,,1.6957535744,,1.9022228718,,-0.0022684718,,-0.0018524821,,0.0031850401,,0.9999913573265076)],Time,Interval:,0.010387,Running,Time:,10.38503,,,,,,,
[(915,,38,,15,,21,,4.72579813,,1.6957393885,,1.9022655487,,-0.0022136813,,-0.001817623,,0.0030620054,,0.9999909996986389)],Time,Interval:,0.010369,Running,Time:,8.560449,,,,,,,
[(923,,38,,15,,21,,4.7258582115,,1.6956688166,,1.9022501707,,-0.002237479,,-0.0018212683,,0.003191248,,0.9999910593032837)],Time,Interval:,0.010318,Running,Time:,10.535087,,,,,,,
[(932,,38,,15,,21,,4.72600317,,1.6957552433,,1.9022598267,,-0.0022221671,,-0.0017995702,,0.0031029466,,0.9999910593032837)],Time,Interval:,0.010313,Running,Time:,2.668685,,,,,,,
[(940,,38,,15,,21,,4.7258439064,,1.6957517862,,1.9022586346,,-0.0022500739,,-0.0018846298,,0.0031287863,,0.9999906420707703)],Time,Interval:,0.010303,Running,Time:,11.251426,,,,,,,
[(948,,38,,15,,21,,4.7260022163,,1.6957446337,,1.9022297859,,-0.0022886053,,-0.0017504796,,0.0031844159,,0.999990701675415)],Time,Interval:,0.01029,Running,Time:,0.800989,,,,,,,
[(956,,38,,15,,21,,4.7258763313,,1.6957775354,,1.9022136927,,-0.0021704608,,-0.001777301,,0.0029735456,,0.9999901652336121)],Time,Interval:,0.010264,Running,Time:,9.11831,,,,,,,
[(965,,38,,15,,21,,4.7257866859,,1.6957796812,,1.9022318125,,-0.002303577,,-0.0020353603,,0.0029141968,,0.9999898076057434)],Time,Interval:,0.010229,Running,Time:,9.718621,,,,,,,
[(973,,38,,15,,21,,4.7258315086,,1.6957541704,,1.9022512436,,-0.0022947914,,-0.0018059455,,0.0029946091,,0.9999913573265076)],Time,Interval:,0.010221,Running,Time:,10.951499,,,,,,,
[(981,,38,,15,,21,,4.7258687019,,1.6957637072,,1.90222013,,-0.002235343,,-0.0018478885,,0.0031941314,,0.9999907612800598)],Time,Interval:,0.010204,Running,Time:,5.735567,,,,,,,
[(990,,38,,15,,21,,4.7259311676,,1.695748806,,1.9022723436,,-0.0021930966,,-0.0017995015,,0.0031825227,,0.9999906420707703)],Time,Interval:,0.010174,Running,Time:,8.935428,,,,,,,
[(998,,38,,15,,21,,4.7258863449,,1.6957134008,,1.902212739,,-0.0022385244,,-0.0017986875,,0.003133974,,0.9999904036521912)],Time,Interval:,0.010143,Running,Time:,15.92668,,,,,,,
[(7,,39,,15,,21,,4.7259306908,,1.6957404613,,1.9022400379,,-0.0022342869,,-0.0017921852,,0.0031441753,,0.9999915957450867)],Time,Interval:,0.01009,Running,Time:,5.693246,,,,,,,
[(15,,39,,15,,21,,4.7260255814,,1.6957480907,,1.9023151398,,-0.0021534844,,-0.0017028197,,0.0031947528,,0.9999908208847046)],Time,Interval:,0.01008,Running,Time:,9.784602,,,,,,,
[(23,,39,,15,,21,,4.7259469032,,1.695767045,,1.9022328854,,-0.0022631015,,-0.0019480202,,0.0032791095,,0.9999909400939941)],Time,Interval:,0.010056,Running,Time:,16.435213,,,,,,,
[(31,,39,,15,,21,,4.7258882523,,1.6957575083,,1.9021880627,,-0.0022826709,,-0.0018577649,,0.0030958594,,0.9999907612800598)],Time,Interval:,0.010053,Running,Time:,12.551497,,,,,,,
