['(819457', ' 577', ' 12', ' 5', ' 22', ' 0.20911280810832977', ' 0.06190597638487816', ' -0.1093263030052185']	1481256312.579234	1481256312.579328
['(819459', ' 593', ' 12', ' 5', ' 22', ' 0.20908920466899872', ' 0.06193772703409195', ' -0.10930120199918747']	1481256312.599422	1481256312.599493
['(819462', ' 619', ' 12', ' 5', ' 22', ' 0.20911921560764313', ' 0.06188006326556206', ' -0.109306700527668']	1481256312.619204	1481256312.619266
['(819464', ' 635', ' 12', ' 5', ' 22', ' 0.2090884894132614', ' 0.06194561347365379', ' -0.10929674655199051']	1481256312.639219	1481256312.639269
['(819467', ' 660', ' 12', ' 5', ' 22', ' 0.20907482504844666', ' 0.061931062489748', ' -0.10925187915563583']	1481256312.659199	1481256312.659255
['(819469', ' 677', ' 12', ' 5', ' 22', ' 0.20911408960819244', ' 0.061918921768665314', ' -0.10929805040359497']	1481256312.679194	1481256312.679248
['(819471', ' 694', ' 12', ' 5', ' 22', ' 0.2090889811515808', ' 0.061936065554618835', ' -0.10925517976284027']	1481256312.699249	1481256312.699330
['(819474', ' 719', ' 12', ' 5', ' 22', ' 0.20907863974571228', ' 0.06193213909864426', ' -0.10922791808843613']	1481256312.719262	1481256312.719334
['(819476', ' 735', ' 12', ' 5', ' 22', ' 0.20907987654209137', ' 0.06196404621005058', ' -0.10929811000823975']	1481256312.739197	1481256312.739241
['(819479', ' 760', ' 12', ' 5', ' 22', ' 0.20906227827072144', ' 0.061919648200273514', ' -0.10921762883663177']	1481256312.759186	1481256312.759238
['(819481', ' 777', ' 12', ' 5', ' 22', ' 0.20907995104789734', ' 0.061925213783979416', ' -0.10929208993911743']	1481256312.779189	1481256312.779235
['(819483', ' 794', ' 12', ' 5', ' 22', ' 0.20909973978996277', ' 0.06191946938633919', ' -0.10932405292987823']	1481256312.799205	1481256312.799263
['(819486', ' 818', ' 12', ' 5', ' 22', ' 0.2090911567211151', ' 0.061873726546764374', ' -0.10929816961288452']	1481256312.819519	1481256312.819610
['(819488', ' 835', ' 12', ' 5', ' 22', ' 0.20900774002075195', ' 0.06196054443717003', ' -0.1093059778213501']	1481256312.839221	1481256312.839289
['(819491', ' 860', ' 12', ' 5', ' 22', ' 0.209078848361969', ' 0.061896469444036484', ' -0.10929015278816223']	1481256312.859355	1481256312.859401
['(819493', ' 877', ' 12', ' 5', ' 22', ' 0.2090998739004135', ' 0.0619177520275116', ' -0.10935014486312866']	1481256312.879194	1481256312.879244
['(819495', ' 894', ' 12', ' 5', ' 22', ' 0.20908303558826447', ' 0.06190389394760132', ' -0.10930933803319931']	1481256312.899279	1481256312.899337
['(819498', ' 918', ' 12', ' 5', ' 22', ' 0.20908445119857788', ' 0.06186950206756592', ' -0.10930059850215912']	1481256312.919271	1481256312.919327
['(819500', ' 935', ' 12', ' 5', ' 22', ' 0.20904488861560822', ' 0.06194481626152992', ' -0.10932950675487518']	1481256312.939200	1481256312.939269
['(819503', ' 960', ' 12', ' 5', ' 22', ' 0.20908856391906738', ' 0.06192076951265335', ' -0.10929348319768906']	1481256312.959205	1481256312.959279
['(819505', ' 977', ' 12', ' 5', ' 22', ' 0.20910939574241638', ' 0.061921995133161545', ' -0.10937457531690598']	1481256312.979193	1481256312.979235
['(819507', ' 993', ' 12', ' 5', ' 22', ' 0.2090817242860794', ' 0.06187272071838379', ' -0.10928443819284439']	1481256312.999261	1481256312.999354
['(819510', ' 18', ' 13', ' 5', ' 22', ' 0.20910631120204926', ' 0.0619199238717556', ' -0.10930446535348892']	1481256313.019202	1481256313.019261
['(819512', ' 35', ' 13', ' 5', ' 22', ' 0.20907878875732422', ' 0.06195089966058731', ' -0.10931084305047989']	1481256313.039713	1481256313.039783
['(819514', ' 52', ' 13', ' 5', ' 22', ' 0.20909948647022247', ' 0.0619034506380558', ' -0.10930866748094559']	1481256313.059208	1481256313.059272
['(819517', ' 77', ' 13', ' 5', ' 22', ' 0.20904028415679932', ' 0.06196826323866844', ' -0.10932723432779312']	1481256313.079303	1481256313.079352
['(819519', ' 94', ' 13', ' 5', ' 22', ' 0.20908412337303162', ' 0.06187814846634865', ' -0.1093047633767128']	1481256313.099186	1481256313.099222
['(819522', ' 118', ' 13', ' 5', ' 22', ' 0.20909017324447632', ' 0.06189902871847153', ' -0.10930058360099792']	1481256313.119183	1481256313.119218
['(819524', ' 135', ' 13', ' 5', ' 22', ' 0.20907855033874512', ' 0.06194520741701126', ' -0.10931987315416336']	1481256313.139207	1481256313.139284
['(819527', ' 160', ' 13', ' 5', ' 22', ' 0.20906861126422882', ' 0.061895694583654404', ' -0.10929392278194427']	1481256313.159544	1481256313.159619
['(819529', ' 177', ' 13', ' 5', ' 22', ' 0.2090991735458374', ' 0.061948262155056', ' -0.10935349762439728']	1481256313.179195	1481256313.179234
['(819531', ' 193', ' 13', ' 5', ' 22', ' 0.20911183953285217', ' 0.06190095841884613', ' -0.10931973904371262']	1481256313.199286	1481256313.199363
['(819534', ' 218', ' 13', ' 5', ' 22', ' 0.20909157395362854', ' 0.06191180273890495', ' -0.1093343123793602']	1481256313.219217	1481256313.219285
['(819536', ' 235', ' 13', ' 5', ' 22', ' 0.2090853899717331', ' 0.061925120651721954', ' -0.10931170731782913']	1481256313.239194	1481256313.239237
