hello :-)!	Time Interval: 1479086849.711410	Running Time: 0.000000
[(0.7691002488136292,)]	Time Interval: 0.002198	Running Time: 0.699559
[(1.6286497116088867,), (0.76880943775177,)]	Time Interval: 0.007496	Running Time: 0.707055
[(1.6286654472351074,), (0.7690210342407227,)]	Time Interval: 0.007988	Running Time: 0.715043
[(1.6287051439285278,)]	Time Interval: 0.009301	Running Time: 0.724344
[(0.7690668106079102,)]	Time Interval: 0.000039	Running Time: 0.724383
[(1.628694772720337,), (0.7688217163085938,)]	Time Interval: 0.008738	Running Time: 0.733121
[(1.628695011138916,), (0.7688117623329163,)]	Time Interval: 0.009481	Running Time: 0.742602
[(1.6287115812301636,)]	Time Interval: 0.006259	Running Time: 0.748861
[(0.7690823674201965,)]	Time Interval: 0.000056	Running Time: 0.748917
[(1.6286301612854004,), (0.7690906524658203,)]	Time Interval: 0.008062	Running Time: 0.756979
[(1.6286439895629883,), (0.7686519026756287,)]	Time Interval: 0.015388	Running Time: 0.772367
[(1.6286284923553467,)]	Time Interval: 0.001973	Running Time: 0.774340
[(0.7689337134361267,)]	Time Interval: 0.000039	Running Time: 0.774379
[(1.628594994544983,), (0.7690573334693909,)]	Time Interval: 0.006977	Running Time: 0.781356
[(1.6286147832870483,), (0.7689620852470398,)]	Time Interval: 0.008109	Running Time: 0.789465
[(1.628633975982666,)]	Time Interval: 0.008932	Running Time: 0.798397
[(0.768794059753418,)]	Time Interval: 0.000039	Running Time: 0.798436
[(1.6286338567733765,), (0.7689191102981567,)]	Time Interval: 0.007934	Running Time: 0.806370
[(1.628625512123108,), (0.7691218256950378,)]	Time Interval: 0.007792	Running Time: 0.814162
[(1.6286290884017944,)]	Time Interval: 0.009095	Running Time: 0.823257
[(0.7689109444618225,)]	Time Interval: 0.003665	Running Time: 0.826922
[(1.6288959980010986,), (0.7693963050842285,)]	Time Interval: 0.004034	Running Time: 0.830956
[(1.628656029701233,), (0.769101619720459,)]	Time Interval: 0.008672	Running Time: 0.839628
[(1.6286877393722534,)]	Time Interval: 0.008239	Running Time: 0.847867
[(0.7687556743621826,)]	Time Interval: 0.002196	Running Time: 0.850063
[(1.6287378072738647,), (0.7692370414733887,)]	Time Interval: 0.005599	Running Time: 0.855662
[(1.627573013305664,), (0.7687689661979675,)]	Time Interval: 0.009153	Running Time: 0.864815
[(1.6287003755569458,)]	Time Interval: 0.007523	Running Time: 0.872338
[(0.7689993977546692,)]	Time Interval: 0.001909	Running Time: 0.874247
[(1.6286725997924805,), (0.769258975982666,)]	Time Interval: 0.006418	Running Time: 0.880665
