hello :-)!	Running Time: 0.000000
[(0.0354248583316803,), (0.03630100190639496,)]	Running Time: 1.116355
[(0.045100148767232895,), (0.03629668429493904,)]	Running Time: 1.123614
[(0.04528253525495529,), (0.035645563155412674,)]	Running Time: 1.131861
[(0.04520464316010475,), (0.03529490530490875,)]	Running Time: 1.139996
[(0.045088768005371094,), (0.0363013781607151,)]	Running Time: 1.148999
[(0.04514357075095177,), (0.035371486097574234,)]	Running Time: 1.156892
[(0.0450979508459568,), (0.036284834146499634,)]	Running Time: 1.165270
[(0.04524160921573639,), (0.0354560948908329,)]	Running Time: 1.173310
[(0.045364562422037125,), (0.03586895763874054,)]	Running Time: 1.182854
[(0.04509899765253067,), (0.03629309684038162,)]	Running Time: 1.190133
[(0.04509589448571205,), (0.03629683703184128,)]	Running Time: 1.198239
[(0.04532498121261597,), (0.03572690859436989,)]	Running Time: 1.207343
[(0.04520599544048309,), (0.03544910252094269,)]	Running Time: 1.215401
[(0.04508277028799057,), (0.0363040417432785,)]	Running Time: 1.223722
[(0.04509386420249939,), (0.03629954159259796,)]	Running Time: 1.232068
[(0.04509187862277031,), (0.03629682585597038,)]	Running Time: 1.240631
[(0.04510139301419258,), (0.036300431936979294,)]	Running Time: 1.248651
[(0.04525921121239662,), (0.035493917763233185,)]	Running Time: 1.256617
[(0.04525018855929375,), (0.03563703969120979,)]	Running Time: 1.265221
[(0.045076895505189896,), (0.03629973903298378,)]	Running Time: 1.274040
[(0.045075248926877975,), (0.03629656508564949,)]	Running Time: 1.281842
[(0.04508398845791817,), (0.03629446402192116,)]	Running Time: 1.290328
[(0.04509560763835907,), (0.03630145639181137,)]	Running Time: 1.299677
[(0.045090824365615845,), (0.03631186485290527,)]	Running Time: 1.307032
[(0.04526297375559807,), (0.03543337807059288,)]	Running Time: 1.315268
[(0.045094095170497894,), (0.03630189225077629,)]	Running Time: 1.323944
[(0.045094672590494156,), (0.036296844482421875,)]	Running Time: 1.332336
[(0.04530634731054306,), (0.04507635533809662,)]	Running Time: 1.348553
[(0.036303870379924774,), (0.04508710280060768,)]	Running Time: 1.356770
[(0.03630930557847023,), (0.04508500173687935,)]	Running Time: 1.365924
[(0.036295872181653976,), (0.04508774355053902,)]	Running Time: 1.373384
